Type,Quartier,Price,Area,Rooms,Bedrooms,Bathrooms,Status
Villa,Hay Massira,520000,82,1.0,4.0,2.0,Bon état
Appartement,Riad Salam,1450000,96,4.0,3.0,2.0,Bon état
Appartement,Hay Mohammadi,1950000,172,4.0,3.0,3.0,Nouveau
Appartement,Hay Houda,920000,105,6.0,2.0,2.0,Bon état
Appartement,Hay Mohammadi,1060000,110,1.0,1.0,2.0,Nouveau
Appartement,Hay Houda,700000,70,2.0,3.0,2.0,Bon état
Appartement,Hay Salam,950000,72,3.0,1.0,2.0,Nouveau
Appartement,Founti,1900000,89,3.0,2.0,1.0,Bon état
Appartement,Tilila,750000,82,2.75,2.0,1.0,Bon état
Villa,Tilila,3800000,200,8.0,4.0,4.0,Bon état
Appartement,Hay Mohammadi,950000,91,3.0,2.0,2.0,Nouveau
Appartement,Hay Salam,620000,65,3.5,2.0,1.0,Bon état
Appartement,Hay Massira,1750000,175,6.0,3.0,2.0,Bon état
Appartement,Hay Salam,630000,65,3.5,2.0,1.0,Bon état
Appartement,Hay Salam,1100000,114,3.9285714285714284,3.0,2.0,Bon état
Appartement,Hay Dakhla,750000,80,3.0,2.0,1.0,Bon état
Villa,Founti,6000000,171,5.333333333333333,4.0,3.0,Bon état
Appartement,Hay Mohammadi,1550000,198,3.0,3.0,2.0,Nouveau
Appartement,Founti,1750000,91,3.0,2.0,2.0,Bon état
Appartement,Hay Dakhla,700000,87,4.0,2.0,1.0,Bon état
Villa,Tikiouine,3200000,292,5.815,4.0,2.0,Nouveau
Appartement,Hay Houda,1400000,79,3.5,2.0,1.0,Bon état
Appartement,Founti,2100000,96,3.0,2.0,1.0,Bon état
Villa,Haut Anza,960000,203,2.0,5.0,3.0,Bon état
Appartement,Hay Mohammadi,1100000,101,3.0,2.0,2.0,Nouveau
Appartement,Haut Founty,1328000,85,2.0,2.0,2.0,Nouveau
Villa,Hay Dakhla,1600000,150,2.0,4.0,2.0,Bon état
Villa,Hay Salam,2300000,96,9.0,6.0,4.0,Bon état
Appartement,Hay Mohammadi,380000,56,1.0,3.0,1.0,Bon état
Appartement,Hay Mohammadi,600000,64,5.0,2.0,1.0,Bon état
Appartement,Extension Dakhla,4200000,432,1.0,8.0,4.0,Bon état
Appartement,Hay Houda,680000,65,3.0,2.0,1.0,Bon état
Villa,Tikiouine,1950000,75,6.0,6.0,3.0,Nouveau
Villa,Illigh,13000000,629,5.0,4.0,4.0,Bon état
Appartement,Hay Salam,600000,65,3.0,3.0,1.0,Nouveau
Appartement,Hay Mohammadi,920000,86,3.0,3.0,2.0,Nouveau
Appartement,Hay Salam,570000,60,1.0,3.0,2.0,Bon état
Appartement,Hay Houda,660000,67,3.0,2.0,2.0,Bon état
Villa,Taddart,3200000,282,2.0,5.0,3.0,Bon état
Appartement,Hay Najah,1550000,130,3.0,2.0,2.0,Bon état
Appartement,Hay Najah,1350000,102,4.0,3.0,2.0,Nouveau
Villa,Founti,3700000,166,6.0,5.0,4.0,Bon état
Villa,Charaf,2000000,120,4.0,3.0,1.0,Bon état
Appartement,Haut Founty,1250000,105,5.0,2.0,1.0,Nouveau
Appartement,Secteur Touristique,2950000,128,1.0,2.0,2.0,Nouveau
Villa,Taddart,2900000,150,5.0,3.0,2.0,Bon état
